Training on train env ...
Epoch: [1][1/200]	Time 11.778 (11.778)	Loss 26.1724 (26.1724)	
Epoch: [1][2/200]	Time 3.683 (7.731)	Loss 12.0892 (19.1308)	
Epoch: [1][3/200]	Time 10.333 (8.598)	Loss 30.5557 (22.9391)	
Epoch: [1][4/200]	Time 9.826 (8.905)	Loss 21.5538 (22.5928)	
Epoch: [1][5/200]	Time 11.183 (9.361)	Loss 26.8492 (23.4441)	
Epoch: [1][6/200]	Time 11.440 (9.707)	Loss 26.7241 (23.9907)	
Epoch: [1][7/200]	Time 9.899 (9.735)	Loss 20.6878 (23.5189)	
Epoch: [1][8/200]	Time 9.497 (9.705)	Loss 14.4230 (22.3819)	
Epoch: [1][9/200]	Time 9.559 (9.689)	Loss 20.4445 (22.1666)	
Epoch: [1][10/200]	Time 9.655 (9.685)	Loss 15.3127 (21.4812)	
Epoch: [1][11/200]	Time 9.601 (9.678)	Loss 19.2903 (21.2821)	
Epoch: [1][12/200]	Time 9.750 (9.684)	Loss 19.7552 (21.1548)	
Epoch: [1][13/200]	Time 9.770 (9.690)	Loss 15.2052 (20.6972)	
Epoch: [1][14/200]	Time 9.386 (9.669)	Loss 18.6131 (20.5483)	
Epoch: [1][15/200]	Time 9.512 (9.658)	Loss 15.3365 (20.2009)	
Epoch: [1][16/200]	Time 9.410 (9.643)	Loss 16.6365 (19.9781)	
Epoch: [1][17/200]	Time 9.363 (9.626)	Loss 24.3846 (20.2373)	
Epoch: [1][18/200]	Time 11.755 (9.744)	Loss 16.9070 (20.0523)	
Epoch: [1][19/200]	Time 11.910 (9.858)	Loss 18.3743 (19.9640)	
Epoch: [1][20/200]	Time 11.681 (9.950)	Loss 16.4683 (19.7892)	
Epoch: [1][21/200]	Time 11.594 (10.028)	Loss 17.8531 (19.6970)	
Epoch: [1][22/200]	Time 10.819 (10.064)	Loss 18.4802 (19.6417)	
Epoch: [1][23/200]	Time 11.534 (10.128)	Loss 22.8310 (19.7803)	
Epoch: [1][24/200]	Time 10.876 (10.159)	Loss 14.9912 (19.5808)	
Epoch: [1][25/200]	Time 10.680 (10.180)	Loss 15.4088 (19.4139)	
Epoch: [1][26/200]	Time 11.312 (10.223)	Loss 12.9892 (19.1668)	
Epoch: [1][27/200]	Time 11.464 (10.269)	Loss 19.2660 (19.1705)	
Epoch: [1][28/200]	Time 10.619 (10.282)	Loss 20.1187 (19.2043)	
Epoch: [1][29/200]	Time 11.257 (10.315)	Loss 15.0946 (19.0626)	
Epoch: [1][30/200]	Time 11.932 (10.369)	Loss 14.8060 (18.9207)	
Epoch: [1][31/200]	Time 11.456 (10.404)	Loss 17.9975 (18.8910)	
Epoch: [1][32/200]	Time 11.096 (10.426)	Loss 14.0431 (18.7395)	
Epoch: [1][33/200]	Time 11.022 (10.444)	Loss 15.4912 (18.6410)	
Epoch: [1][34/200]	Time 10.830 (10.455)	Loss 11.4631 (18.4299)	
Epoch: [1][35/200]	Time 11.087 (10.473)	Loss 15.6808 (18.3514)	
Epoch: [1][36/200]	Time 11.208 (10.494)	Loss 14.6605 (18.2488)	
Epoch: [1][37/200]	Time 11.482 (10.521)	Loss 12.6595 (18.0978)	
