Evaluating on val_seen env ...
Epoch: [0][1/256]	Time 3.074 (3.074)	Loss 10.1187 (10.1187)	
Epoch: [0][2/256]	Time 1.004 (2.039)	Loss 5.7795 (7.9491)	
Epoch: [0][3/256]	Time 0.511 (1.530)	Loss 3.1368 (6.3450)	
Epoch: [0][4/256]	Time 0.378 (1.242)	Loss 2.0332 (5.2670)	
Epoch: [0][5/256]	Time 1.487 (1.291)	Loss 10.1653 (6.2467)	
Epoch: [0][6/256]	Time 0.783 (1.206)	Loss 4.1090 (5.8904)	
Epoch: [0][7/256]	Time 1.619 (1.265)	Loss 9.5523 (6.4135)	
Epoch: [0][8/256]	Time 0.315 (1.146)	Loss 1.9947 (5.8612)	
Epoch: [0][9/256]	Time 0.671 (1.094)	Loss 3.1344 (5.5582)	
Epoch: [0][10/256]	Time 0.702 (1.054)	Loss 3.8272 (5.3851)	
Epoch: [0][11/256]	Time 1.711 (1.114)	Loss 9.0572 (5.7189)	
Epoch: [0][12/256]	Time 1.528 (1.149)	Loss 12.7139 (6.3019)	
Epoch: [0][13/256]	Time 0.723 (1.116)	Loss 3.6222 (6.0957)	
Epoch: [0][14/256]	Time 0.525 (1.074)	Loss 3.0901 (5.8810)	
Epoch: [0][15/256]	Time 1.662 (1.113)	Loss 10.8714 (6.2137)	
Epoch: [0][16/256]	Time 1.511 (1.138)	Loss 8.7938 (6.3750)	
Epoch: [0][17/256]	Time 1.537 (1.161)	Loss 9.1551 (6.5385)	
Epoch: [0][18/256]	Time 1.214 (1.164)	Loss 7.5506 (6.5948)	
Epoch: [0][19/256]	Time 1.606 (1.187)	Loss 8.2199 (6.6803)	
Epoch: [0][20/256]	Time 1.419 (1.199)	Loss 6.4922 (6.6709)	
Epoch: [0][21/256]	Time 1.788 (1.227)	Loss 8.3940 (6.7529)	
Epoch: [0][22/256]	Time 0.446 (1.192)	Loss 2.4133 (6.5557)	
Epoch: [0][23/256]	Time 0.531 (1.163)	Loss 3.1160 (6.4061)	
Epoch: [0][24/256]	Time 1.805 (1.190)	Loss 9.5524 (6.5372)	
Epoch: [0][25/256]	Time 1.724 (1.211)	Loss 9.3933 (6.6515)	
Epoch: [0][26/256]	Time 1.642 (1.228)	Loss 8.3122 (6.7153)	
Epoch: [0][27/256]	Time 1.434 (1.235)	Loss 9.0604 (6.8022)	
Epoch: [0][28/256]	Time 1.816 (1.256)	Loss 10.9159 (6.9491)	
Epoch: [0][29/256]	Time 1.623 (1.269)	Loss 8.1897 (6.9919)	
Epoch: [0][30/256]	Time 1.891 (1.289)	Loss 10.6153 (7.1127)	
Epoch: [0][31/256]	Time 1.797 (1.306)	Loss 9.4532 (7.1882)	
Epoch: [0][32/256]	Time 1.838 (1.322)	Loss 9.7925 (7.2696)	
Epoch: [0][33/256]	Time 2.015 (1.343)	Loss 10.4742 (7.3667)	
Epoch: [0][34/256]	Time 0.799 (1.327)	Loss 3.9934 (7.2674)	
Epoch: [0][35/256]	Time 1.610 (1.335)	Loss 9.3767 (7.3277)	
Epoch: [0][36/256]	Time 1.163 (1.331)	Loss 6.1213 (7.2942)	
Epoch: [0][37/256]	Time 1.729 (1.341)	Loss 10.0899 (7.3698)	
Epoch: [0][38/256]	Time 1.321 (1.341)	Loss 10.0247 (7.4396)	
Epoch: [0][39/256]	Time 2.029 (1.359)	Loss 10.8614 (7.5274)	
Epoch: [0][40/256]	Time 1.466 (1.361)	Loss 8.0818 (7.5412)	
Epoch: [0][41/256]	Time 1.742 (1.371)	Loss 8.6388 (7.5680)	
Epoch: [0][42/256]	Time 1.715 (1.379)	Loss 10.7153 (7.6429)	
Epoch: [0][43/256]	Time 1.939 (1.392)	Loss 9.9863 (7.6974)	
Epoch: [0][44/256]	Time 1.882 (1.403)	Loss 10.0887 (7.7518)	
Epoch: [0][45/256]	Time 1.740 (1.410)	Loss 11.2362 (7.8292)	
Epoch: [0][46/256]	Time 0.529 (1.391)	Loss 2.1024 (7.7047)	
Epoch: [0][47/256]	Time 0.672 (1.376)	Loss 3.9205 (7.6242)	
Epoch: [0][48/256]	Time 1.589 (1.380)	Loss 9.7035 (7.6675)	
Epoch: [0][49/256]	Time 0.667 (1.366)	Loss 3.7985 (7.5886)	
Epoch: [0][50/256]	Time 1.172 (1.362)	Loss 7.5622 (7.5880)	
Epoch: [0][51/256]	Time 1.629 (1.367)	Loss 9.4779 (7.6251)	
Epoch: [0][52/256]	Time 1.499 (1.370)	Loss 10.1000 (7.6727)	
Epoch: [0][53/256]	Time 1.803 (1.378)	Loss 9.4556 (7.7063)	
Epoch: [0][54/256]	Time 1.744 (1.385)	Loss 8.8525 (7.7275)	
Epoch: [0][55/256]	Time 1.572 (1.388)	Loss 8.2000 (7.7361)	
Epoch: [0][56/256]	Time 1.840 (1.396)	Loss 10.3766 (7.7833)	
Epoch: [0][57/256]	Time 0.785 (1.385)	Loss 4.2326 (7.7210)	
Epoch: [0][58/256]	Time 1.084 (1.380)	Loss 6.7072 (7.7035)	
Epoch: [0][59/256]	Time 1.512 (1.382)	Loss 9.0489 (7.7263)	
Epoch: [0][60/256]	Time 0.651 (1.370)	Loss 2.8176 (7.6445)	
Epoch: [0][61/256]	Time 0.891 (1.362)	Loss 4.3507 (7.5905)	
Epoch: [0][62/256]	Time 1.559 (1.366)	Loss 8.0847 (7.5985)	
Epoch: [0][63/256]	Time 1.788 (1.372)	Loss 9.9026 (7.6351)	
Epoch: [0][64/256]	Time 0.863 (1.364)	Loss 5.5159 (7.6019)	
Epoch: [0][65/256]	Time 1.989 (1.374)	Loss 11.2448 (7.6580)	
Epoch: [0][66/256]	Time 1.488 (1.376)	Loss 9.3024 (7.6829)	
Epoch: [0][67/256]	Time 1.626 (1.379)	Loss 10.7059 (7.7280)	
Epoch: [0][68/256]	Time 1.644 (1.383)	Loss 9.7817 (7.7582)	
Epoch: [0][69/256]	Time 0.310 (1.368)	Loss 2.1528 (7.6770)	
Epoch: [0][70/256]	Time 1.540 (1.370)	Loss 10.0145 (7.7104)	
