Training on train env ...
Epoch: [1][1/200]	Time 16.182 (16.182)	Loss 35.3353 (35.3353)	
Epoch: [1][2/200]	Time 14.228 (15.205)	Loss 48.6891 (42.0122)	
Epoch: [1][3/200]	Time 14.324 (14.911)	Loss 44.7756 (42.9333)	
Epoch: [1][4/200]	Time 13.967 (14.675)	Loss 26.6963 (38.8741)	
Epoch: [1][5/200]	Time 13.934 (14.527)	Loss 31.8218 (37.4636)	
Epoch: [1][6/200]	Time 13.955 (14.431)	Loss 30.6103 (36.3214)	
Epoch: [1][7/200]	Time 14.192 (14.397)	Loss 34.1851 (36.0162)	
Epoch: [1][8/200]	Time 14.135 (14.364)	Loss 18.4486 (33.8202)	
Epoch: [1][9/200]	Time 14.059 (14.331)	Loss 24.0403 (32.7336)	
Epoch: [1][10/200]	Time 13.808 (14.278)	Loss 27.1037 (32.1706)	
Epoch: [1][11/200]	Time 13.773 (14.232)	Loss 26.2490 (31.6323)	
Epoch: [1][12/200]	Time 13.679 (14.186)	Loss 24.3239 (31.0232)	
Epoch: [1][13/200]	Time 14.126 (14.182)	Loss 17.3463 (29.9712)	
Epoch: [1][14/200]	Time 13.924 (14.163)	Loss 23.6021 (29.5162)	
