wandb: WARNING Calling run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Using lstm as encoder ...
EncoderRNN(
  (embedding): Embedding(992, 256, padding_idx=0)
  (drop): Dropout(p=0.5)
  (rnn): CustomRNN(
    (cell_0): LSTMCell(256, 512)
    (dropout_layer): Dropout(p=0)
  )
)
HybridAgent_high(
  (high_model): HighLevelModel(
    (proj_navigable_mlp): Sequential(
      (0): BatchNorm1d(2048, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (1): Linear(in_features=2048, out_features=1024, bias=True)
      (2): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (3): Dropout(p=0.5)
      (4): ReLU(inplace)
    )
    (ctx_t_img_fc): Linear(in_features=512, out_features=1024, bias=True)
    (soft_attn): SoftAttention(
      (softmax): Softmax()
    )
    (dropout): Dropout(p=0.5)
    (lstm): LSTMCell(1573, 512)
    (logit_fc): Linear(in_features=1024, out_features=1024, bias=True)
  )
  (h0_t_ctx_fc): Linear(in_features=512, out_features=512, bias=True)
  (soft_attn): SoftAttention(
    (softmax): Softmax()
  )
  (dropout): Dropout(p=0.5)
  (lang_position): PositionalEncoding(
    (dropout): Dropout(p=0.1)
  )
  (h2_fc_lstm): Linear(in_features=1536, out_features=512, bias=True)
  (critic): Sequential(
    (0): Linear(in_features=612, out_features=1, bias=True)
    (1): Tanh()
  )
)
Reading image features file preprocessed_data/img_features/ResNet-152-imagenet.tsv
Loading image features ..
Reading number of navigable features from preprocessed_data/navigable_result
Loading number of navigable features ..
Loading navigation graphs for 61 scans
R2RBatch loaded with 14039 instructions, using splits: train
Loading navigation graphs for 56 scans
R2RBatch loaded with 1021 instructions, using splits: val_seen
Loading navigation graphs for 11 scans
R2RBatch loaded with 2349 instructions, using splits: val_unseen
Training on train env ...
Epoch: [1][1/200]	Time 3.802 (3.802)	Loss 27.3906 (27.3906)	
Epoch: [1][2/200]	Time 1.582 (2.692)	Loss 22.6406 (25.0156)	
Epoch: [1][3/200]	Time 1.636 (2.340)	Loss 20.2044 (23.4119)	
Epoch: [1][4/200]	Time 1.635 (2.164)	Loss 21.2946 (22.8825)	
Epoch: [1][5/200]	Time 2.868 (2.305)	Loss 17.5680 (21.8196)	
Epoch: [1][6/200]	Time 1.653 (2.196)	Loss 19.9609 (21.5098)	
Epoch: [1][7/200]	Time 1.633 (2.116)	Loss 18.4087 (21.0668)	
Epoch: [1][8/200]	Time 1.627 (2.055)	Loss 17.1147 (20.5728)	
Epoch: [1][9/200]	Time 1.595 (2.004)	Loss 15.8992 (20.0535)	
Epoch: [1][10/200]	Time 3.069 (2.110)	Loss 16.3033 (19.6785)	
Epoch: [1][11/200]	Time 1.571 (2.061)	Loss 15.4592 (19.2949)	
Epoch: [1][12/200]	Time 1.651 (2.027)	Loss 14.3675 (18.8843)	
Epoch: [1][13/200]	Time 1.778 (2.008)	Loss 14.4735 (18.5450)	
Epoch: [1][14/200]	Time 1.665 (1.983)	Loss 14.5557 (18.2601)	
Epoch: [1][15/200]	Time 3.229 (2.066)	Loss 13.2691 (17.9273)	
Epoch: [1][16/200]	Time 1.522 (2.032)	Loss 14.0380 (17.6842)	
Epoch: [1][17/200]	Time 1.762 (2.016)	Loss 13.1058 (17.4149)	
Epoch: [1][18/200]	Time 1.718 (2.000)	Loss 12.5151 (17.1427)	
Epoch: [1][19/200]	Time 1.795 (1.989)	Loss 13.3277 (16.9419)	
Epoch: [1][20/200]	Time 3.013 (2.040)	Loss 12.3923 (16.7144)	
Epoch: [1][21/200]	Time 1.753 (2.027)	Loss 10.8921 (16.4372)	
Epoch: [1][22/200]	Time 1.804 (2.016)	Loss 11.4822 (16.2120)	
Epoch: [1][23/200]	Time 1.822 (2.008)	Loss 10.6701 (15.9710)	
Epoch: [1][24/200]	Time 1.940 (2.005)	Loss 11.4468 (15.7825)	
Epoch: [1][25/200]	Time 3.131 (2.050)	Loss 10.4656 (15.5698)	
Epoch: [1][26/200]	Time 2.111 (2.053)	Loss 10.0536 (15.3577)	
